mcid,program,peer_group
MCID3111363664,Mechanical,starters
MCID3111363671,Civil,starters
MCID3111363723,Mechanical,starters
MCID3111363821,Electrical,starters
MCID3111363838,Mechanical,starters
MCID3111363949,Mechanical,starters
MCID3111363994,Mechanical,starters
MCID3111364047,Electrical,starters
MCID3111364090,Electrical,starters
MCID3111364917,Electrical,starters
MCID3111364931,Electrical,starters
MCID3111364936,Electrical,starters
MCID3111364982,Civil,starters
MCID3111364998,Electrical,starters
MCID3111365422,Electrical,starters
MCID3111365497,Mechanical,starters
MCID3111365643,Civil,starters
MCID3111365845,Mechanical,starters
MCID3111365846,Civil,starters
MCID3111366062,Mechanical,starters
MCID3111366163,Mechanical,starters
MCID3111366169,Civil,starters
MCID3111366203,Civil,starters
MCID3111366261,Civil,starters
MCID3111366265,Electrical,starters
MCID3111366311,Civil,starters
MCID3111366435,Electrical,starters
MCID3111366498,Electrical,starters
MCID3111366684,Mechanical,starters
MCID3111366692,Electrical,starters
MCID3111366844,Mechanical,starters
MCID3111366845,Electrical,starters
MCID3111366915,Civil,starters
MCID3111366937,Electrical,starters
MCID3111366960,Electrical,starters
MCID3111367072,Mechanical,starters
MCID3111367131,Electrical,starters
MCID3111367218,Civil,starters
MCID3111367303,Electrical,starters
MCID3111367885,Mechanical,starters
MCID3111367972,Mechanical,starters
MCID3111368124,Mechanical,starters
MCID3111368183,Electrical,starters
MCID3111368291,Electrical,starters
MCID3111368352,Electrical,starters
MCID3111368363,Civil,starters
MCID3111368541,Electrical,starters
MCID3111368593,Civil,starters
MCID3111368738,Civil,starters
MCID3111368741,Electrical,starters
MCID3111368744,Mechanical,starters
MCID3111368819,Civil,starters
MCID3111368820,Mechanical,starters
MCID3111368987,Electrical,starters
MCID3111369077,Civil,starters
MCID3111369194,Mechanical,starters
MCID3111369201,Electrical,starters
MCID3111369233,Civil,starters
MCID3111369270,Civil,starters
MCID3111369275,Civil,starters
MCID3111369298,Mechanical,starters
MCID3111369317,Civil,starters
MCID3111369435,Mechanical,starters
MCID3111369561,Mechanical,starters
MCID3111369564,Electrical,starters
MCID3111369573,Mechanical,starters
MCID3111369580,Civil,starters
MCID3111369691,Civil,starters
MCID3111369813,Civil,starters
MCID3111369907,Mechanical,starters
MCID3111369969,Civil,starters
MCID3111370017,Electrical,starters
MCID3111370022,Electrical,starters
MCID3111370211,Mechanical,starters
MCID3111370334,Mechanical,starters
MCID3111370337,Mechanical,starters
MCID3111370359,Civil,starters
MCID3111370479,Electrical,starters
MCID3111370748,Electrical,starters
MCID3111370762,Mechanical,starters
MCID3111370857,Electrical,starters
MCID3111371196,Mechanical,starters
MCID3111373831,Electrical,starters
MCID3111374036,Mechanical,starters
MCID3111375262,Mechanical,starters
MCID3111375467,Mechanical,starters
MCID3111375641,Mechanical,starters
MCID3111376122,Electrical,starters
MCID3111378554,Civil,starters
MCID3111378708,Electrical,starters
MCID3111378971,Mechanical,starters
MCID3111379024,Civil,starters
MCID3111379523,Civil,starters
MCID3111379571,Electrical,starters
MCID3111380306,Mechanical,starters
MCID3111380407,Civil,starters
MCID3111383101,Electrical,starters
MCID3111383563,Electrical,starters
MCID3111383599,Electrical,starters
MCID3111383891,Mechanical,starters
MCID3111383896,Electrical,starters
MCID3111384931,Mechanical,starters
MCID3111388373,Mechanical,starters
MCID3111388443,Electrical,starters
MCID3111388450,Electrical,starters
MCID3111388828,Mechanical,starters
MCID3111388850,Mechanical,starters
MCID3111388864,Mechanical,starters
MCID3111389049,Mechanical,starters
MCID3111389065,Electrical,starters
MCID3111389102,Mechanical,starters
MCID3111389683,Electrical,starters
MCID3111390178,Mechanical,starters
MCID3111390405,Electrical,starters
MCID3111390451,Civil,starters
MCID3111392553,Electrical,starters
MCID3111392725,Mechanical,starters
MCID3111392929,Mechanical,starters
MCID3111393040,Civil,starters
MCID3111393318,Civil,starters
MCID3111393418,Electrical,starters
MCID3111393760,Electrical,starters
MCID3111393949,Electrical,starters
MCID3111394158,Electrical,starters
MCID3111394253,Industrial,starters
MCID3111394305,Civil,starters
MCID3111397333,Electrical,starters
MCID3111397787,Mechanical,starters
MCID3111397812,Industrial,starters
MCID3111397885,Industrial,starters
MCID3111398659,Electrical,starters
MCID3111398878,Civil,starters
MCID3111398961,Electrical,starters
MCID3111398968,Mechanical,starters
MCID3111401781,Electrical,starters
MCID3111403046,Mechanical,starters
MCID3111403435,Industrial,starters
MCID3111403439,Mechanical,starters
MCID3111403463,Civil,starters
MCID3111403935,Civil,starters
MCID3111404397,Electrical,starters
MCID3111404427,Mechanical,starters
MCID3111404471,Mechanical,starters
MCID3111405661,Civil,starters
MCID3111405697,Mechanical,starters
MCID3111405710,Mechanical,starters
MCID3111405732,Electrical,starters
MCID3111406478,Civil,starters
MCID3111406697,Mechanical,starters
MCID3111406954,Mechanical,starters
MCID3111406997,Electrical,starters
MCID3111407715,Electrical,starters
MCID3111407722,Civil,starters
MCID3111407959,Industrial,starters
MCID3111408267,Industrial,starters
MCID3111408274,Electrical,starters
MCID3111408730,Mechanical,starters
MCID3111408816,Industrial,starters
MCID3111408838,Mechanical,starters
MCID3111409395,Electrical,starters
MCID3111409411,Electrical,starters
MCID3111409420,Mechanical,starters
MCID3111409441,Electrical,starters
MCID3111409459,Civil,starters
MCID3111410108,Civil,starters
MCID3111410144,Electrical,starters
